"SPI","Mean_Accuracy","p_value_bonferroni","significant","Directionality","Literature_category","Module"
"cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5",58.9761092150171,0,TRUE,"Undirected","spectral","M12"
"coint_aeg_tstat_trend-c_autolag-aic_maxlag-10",59.8407281001138,0,TRUE,"Undirected","misc","M13"
"coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10",60.6370875995449,0,TRUE,"Undirected","misc","M13"
"coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10",56.0864618885097,0.060000000000007,FALSE,"Undirected","misc","M13"
"coint_johansen_max_eig_stat_order-0_ardiff-1",64.8122866894198,0,TRUE,"Undirected","misc","M13"
"coint_johansen_max_eig_stat_order-0_ardiff-10",62.8555176336746,0,TRUE,"Undirected","misc","M13"
"coint_johansen_max_eig_stat_order-1_ardiff-1",64.6188850967008,0,TRUE,"Undirected","misc","M13"
"coint_johansen_max_eig_stat_order-1_ardiff-10",62.9806598407281,0,TRUE,"Undirected","misc","M13"
"coint_johansen_trace_stat_order-0_ardiff-1",63.9249146757679,0,TRUE,"Undirected","misc","M13"
"coint_johansen_trace_stat_order-0_ardiff-10",63.6405005688282,0,TRUE,"Undirected","misc","M13"
"coint_johansen_trace_stat_order-1_ardiff-1",63.9931740614334,0,TRUE,"Undirected","misc","M13"
"coint_johansen_trace_stat_order-1_ardiff-10",63.9590443686007,0,TRUE,"Undirected","misc","M13"
"cov_EllipticEnvelope",62.9465301478953,0,TRUE,"Undirected","basic","M14"
"cov_EmpiricalCovariance",63.2992036405006,0,TRUE,"Undirected","basic","M14"
"cov_GraphicalLasso",61.9567690557452,0,TRUE,"Undirected","basic","M14"
"cov_GraphicalLassoCV",61.93401592719,0,TRUE,"Undirected","basic","M14"
"cov_LedoitWolf",62.901023890785,0,TRUE,"Undirected","basic","M14"
"cov_MinCovDet",63.7201365187713,0,TRUE,"Undirected","basic","M14"
"cov_OAS",62.0819112627986,0,TRUE,"Undirected","basic","M14"
"cov_ShrunkCovariance",62.7645051194539,0,TRUE,"Undirected","basic","M14"
"dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5",57.7133105802048,0,TRUE,"Directed","spectral","M06"
"dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25",62.6962457337884,0,TRUE,"Directed","spectral","M06"
